time	low	high	open	close	volume
1497772800	2511.72	2586.14	2548.74	2582.62	8617.0
1497776400	2566.28	2590.44	2582.62	2576.85	2899.65
1497780000	2570.56	2610.89	2576.85	2600.54	2927.71
1497783600	2578.62	2608.92	2600.54	2587.45	2596.42
1497787200	2586.29	2605.4	2587.45	2599.12	1618.27
1497790800	2551.14	2600.05	2599.12	2551.92	4236.69
1497794400	2536.09	2565.49	2551.92	2559.17	4808.03
1497798000	2556.9	2583.37	2559.17	2581.6	2265.48
1497801600	2573.4	2594.64	2581.6	2581.89	3277.31
1497805200	2571.17	2588.89	2581.89	2579.89	2081.17
1497808800	2530.02	2580.8	2579.89	2553.33	4221.39
1497812400	2498.64	2560.1	2553.33	2522.48	5127.2
1497816000	2489.75	2523.98	2522.48	2499.41	4803.94
1497819600	2488.59	2527.67	2499.41	2513.21	4427.76
1497823200	2489.26	2530.48	2513.21	2527.59	2994.12
1497826800	2515.73	2541.74	2527.59	2539.56	2854.14
1497830400	2532.48	2562.98	2539.56	2547.87	3520.33
1497834000	2527.99	2557.79	2547.87	2533.76	2962.97
1497837600	2532.21	2577.92	2533.76	2577.38	2801.53
1497841200	2577.38	2589.04	2577.38	2583.6	3658.47
1497844800	2575.99	2585.26	2583.6	2581.78	1379.32
1497848400	2579.81	2594.99	2581.78	2594.96	2053.64
1497852000	2585.59	2601.75	2594.96	2597.97	3687.28
1497855600	2581.7	2602.88	2597.97	2591.22	3188.03
1497859200	2583.73	2594.04	2591.22	2591.22	2049.31
1497862800	2536.15	2593.49	2591.22	2549.37	4083.04
1497866400	2548.46	2566.32	2549.37	2550.08	2609.75
1497870000	2518.78	2551.82	2550.08	2551.47	5553.82
1497873600	2544.77	2580.55	2551.47	2562.08	4423.66
1497877200	2560.8	2594.33	2562.08	2592.76	4091.08
1497880800	2582.75	2597.14	2592.76	2585.57	4486.76
1497884400	2568.48	2589.44	2585.57	2570.92	4512.09
1497888000	2569.94	2592.66	2570.92	2592.61	3875.83
1497891600	2587.87	2609.51	2592.61	2608.9	3407.18
1497895200	2598.04	2612.61	2608.9	2602.49	3733.94
1497898800	2581.61	2603.37	2602.49	2583.22	3897.86
1497902400	2579.77	2597.67	2583.22	2596.16	3657.86
1497906000	2586.79	2599.06	2596.16	2593.53	2799.09
1497909600	2593.52	2608.08	2593.53	2604.64	2153.47
1497913200	2603.32	2617.75	2604.64	2616.82	3242.93
1497916800	2616.47	2654.78	2616.82	2647.11	6180.22
1497920400	2638.2	2662.39	2647.11	2662.32	3055.16
1497924000	2642.63	2663.03	2662.32	2644.06	1993.17
1497927600	2630.98	2649.07	2644.06	2633.76	2767.91
1497931200	2632.16	2641.13	2633.76	2639.19	2624.75
1497934800	2635.6	2644.25	2639.19	2638.81	1944.13
1497938400	2630.88	2647.31	2638.81	2645.8	2023.91
1497942000	2635.46	2650.9	2645.8	2637.51	2933.15
1497945600	2630.15	2643.76	2637.51	2630.4	2411.3
1497949200	2613.98	2632.61	2630.4	2626.09	3145.64
1497952800	2619.37	2628.18	2626.09	2623.69	2484.1
1497956400	2622.26	2644.83	2623.69	2643.07	3460.62
1497960000	2639.88	2670.25	2643.07	2670.19	4210.24
1497963600	2658.01	2672.39	2670.19	2667.9	4262.13
1497967200	2666.37	2684.88	2667.9	2683.79	5456.04
1497970800	2679.84	2691.31	2683.79	2680.02	4432.25
1497974400	2666.24	2690.5	2680.02	2690.17	3330.9
1497978000	2689.77	2731.13	2690.17	2725.79	7424.01
1497981600	2724.75	2789.26	2725.79	2776.12	15806.3
1497985200	2747.48	2800.48	2776.12	2786.1	9574.53
1497988800	2760.26	2789.65	2786.1	2787.27	5891.04
1497992400	2766.71	2790.03	2787.27	2781.17	5807.41
1497996000	2747.64	2781.31	2781.17	2771.15	6072.6
1497999600	2753.27	2774.64	2771.15	2754.38	4012.05
1498003200	2729.27	2758.55	2754.38	2750.01	4022.97
1498006800	2733.75	2752.48	2750.01	2747.04	3570.75
1498010400	2743.46	2765.94	2747.04	2748.92	2433.09
1498014000	2748.92	2778.08	2748.92	2776.99	3001.19
1498017600	2775.46	2803.79	2776.99	2803.66	4039.71
1498021200	2737.05	2804.41	2803.66	2737.27	4190.84
1498024800	2668.95	2737.57	2737.27	2725.17	9323.47
1498028400	2704.86	2741.86	2725.17	2741.43	3605.62
1498032000	2741.3	2758.24	2741.43	2752.39	3160.51
1498035600	2713.38	2753.44	2752.39	2719.31	3308.74
1498039200	2701.24	2727.33	2719.31	2724.16	4225.02
1498042800	2720.89	2747.15	2724.16	2746.33	3475.38
1498046400	2744.41	2757.99	2746.33	2752.03	3893.87
1498050000	2725.36	2755.88	2752.03	2734.19	5447.87
1498053600	2706.07	2743.54	2734.19	2710.19	5625.89
1498057200	2675.28	2714.95	2710.19	2712.95	6733.91
1498060800	2707.15	2732.76	2712.95	2731.38	4250.04
1498064400	2694.47	2732.9	2731.38	2703.19	4924.43
1498068000	2702.52	2730.98	2703.19	2714.82	3815.26
1498071600	2687.3	2731.99	2714.82	2691.6	5714.47
1498075200	2685.3	2705.9	2691.6	2695.68	6092.06
1498078800	2628.48	2700.09	2695.68	2634.58	10206.75
1498082400	2624.35	2661.92	2634.58	2656.94	6100.25
1498086000	2632.55	2683.59	2656.94	2677.62	4871.52
1498089600	2676.8	2697.79	2677.62	2685.4	3635.03
1498093200	2653.25	2687.29	2685.4	2671.92	3362.22
1498096800	2663.51	2674.72	2671.92	2669.6	2019.05
1498100400	2668.42	2686.48	2669.6	2674.8	1888.51
1498104000	2631.08	2681.72	2674.8	2631.74	3396.48
1498107600	2623.17	2660.92	2631.74	2651.0	3619.61
1498111200	2650.93	2676.11	2651.0	2670.71	2527.43
1498114800	2656.14	2676.24	2670.71	2675.73	2215.96
1498118400	2660.56	2678.54	2675.73	2663.97	2503.66
1498122000	2655.34	2698.05	2663.97	2696.68	3665.85
1498125600	2696.53	2708.22	2696.68	2703.7	3217.01
1498129200	2691.84	2707.34	2703.7	2699.45	2872.71
1498132800	2691.61	2701.72	2699.45	2700.63	3077.28
1498136400	2698.31	2724.69	2700.63	2723.47	3637.7
1498140000	2720.01	2740.35	2723.47	2737.67	4507.82
1498143600	2731.36	2751.36	2737.67	2751.36	4282.79
1498147200	2737.21	2757.32	2751.36	2749.25	3771.49
1498150800	2730.71	2752.8	2749.25	2735.97	3242.75
1498154400	2726.69	2746.12	2735.97	2746.11	2554.95
1498158000	2698.76	2747.16	2746.11	2724.66	3924.1
1498161600	2709.09	2735.13	2724.66	2712.35	4299.01
1498165200	2700.6	2725.01	2712.35	2723.39	5085.97
1498168800	2719.65	2733.78	2723.39	2721.01	2496.13
1498172400	2708.85	2724.18	2721.01	2722.84	2494.07
1498176000	2722.21	2743.05	2722.84	2738.25	2163.75
1498179600	2730.68	2751.87	2738.25	2750.39	1619.24
1498183200	2742.96	2759.66	2750.39	2745.24	2576.06
1498186800	2740.17	2747.07	2745.24	2746.36	1667.37
1498190400	2744.85	2750.24	2746.36	2748.28	1701.52
1498194000	2741.17	2749.77	2748.28	2746.28	2001.79
1498197600	2726.57	2748.25	2746.28	2734.4	2647.61
1498201200	2730.1	2737.73	2734.4	2733.28	1537.5
1498204800	2703.18	2734.36	2733.28	2713.69	4029.3
1498208400	2710.05	2721.59	2713.69	2716.87	1828.99
1498212000	2714.79	2734.08	2716.87	2730.41	1448.63
1498215600	2724.98	2731.97	2730.41	2726.82	2050.55
1498219200	2720.92	2730.62	2726.82	2722.36	1888.67
1498222800	2717.43	2733.89	2723.54	2728.54	2281.82
1498226400	2725.85	2740.66	2728.54	2740.45	2700.06
1498230000	2731.29	2749.16	2740.45	2736.86	2831.52
1498233600	2731.77	2744.65	2736.86	2742.87	1910.95
1498237200	2742.41	2751.64	2742.87	2743.71	3481.6
1498240800	2732.26	2744.47	2743.71	2732.26	2653.53
1498244400	2725.59	2741.06	2732.26	2734.28	2499.78
1498248000	2733.14	2741.55	2734.28	2737.75	2479.33
1498251600	2717.18	2739.66	2737.75	2730.15	3928.79
1498255200	2723.85	2733.57	2730.15	2727.0	1376.23
1498258800	2699.48	2727.72	2727.0	2710.37	3633.5
1498262400	2709.73	2726.25	2710.37	2725.37	1804.54
1498266000	2718.86	2728.47	2725.37	2721.22	1587.73
1498269600	2720.96	2731.43	2721.22	2729.29	1417.59
1498273200	2718.87	2732.04	2729.29	2723.74	1690.94
1498276800	2719.31	2728.34	2723.74	2726.61	1264.71
1498280400	2724.6	2740.68	2726.61	2740.47	1427.14
1498284000	2727.96	2741.56	2740.47	2730.12	1504.05
1498287600	2726.74	2732.77	2730.12	2729.63	1544.97
1498291200	2728.76	2738.94	2729.63	2736.14	1275.17
1498294800	2724.4	2738.51	2736.14	2730.91	1606.81
1498298400	2728.36	2736.02	2730.91	2734.71	1168.05
1498302000	2733.76	2739.8	2734.71	2734.67	1152.51
1498305600	2730.38	2740.28	2734.67	2733.17	1548.4
1498309200	2641.85	2733.34	2733.17	2644.02	11007.08
1498312800	2631.02	2675.87	2644.02	2634.45	9275.02
1498316400	2634.45	2678.4	2634.45	2677.21	5218.45
1498320000	2644.18	2680.3	2677.21	2644.59	4739.72
1498323600	2642.16	2664.68	2644.59	2642.48	3512.16
1498327200	2569.57	2644.27	2642.48	2594.31	9814.66
1498330800	2548.16	2596.45	2594.31	2551.79	7678.09
1498334400	2540.35	2597.34	2551.79	2595.4	7639.57
1498338000	2583.18	2616.67	2595.4	2608.35	2787.55
1498341600	2577.1	2610.54	2608.35	2577.61	2685.1
1498345200	2559.52	2600.68	2577.61	2590.05	3614.17
1498348800	2561.66	2591.1	2590.05	2565.81	2955.54
1498352400	2533.58	2575.28	2565.81	2564.81	5955.43
1498356000	2548.78	2579.12	2564.81	2578.79	3727.86
1498359600	2554.47	2580.21	2578.79	2572.4	2925.82
1498363200	2570.0	2598.55	2572.4	2598.55	1918.57
1498366800	2598.55	2608.13	2598.55	2605.09	1542.11
1498370400	2603.79	2619.37	2605.09	2614.73	2229.78
1498374000	2601.13	2615.76	2614.73	2603.65	1528.61
1498377600	2601.53	2629.96	2603.65	2629.96	2171.27
1498381200	2626.86	2645.32	2629.96	2635.61	2304.26
1498384800	2616.01	2635.65	2635.61	2625.61	2216.85
1498388400	2622.99	2658.42	2625.61	2657.41	3263.85
1498392000	2637.02	2660.66	2657.41	2643.49	2823.67
1498395600	2638.97	2647.71	2643.49	2646.42	1869.2
1498399200	2617.63	2649.33	2646.42	2621.44	3346.74
1498402800	2596.03	2624.68	2621.44	2597.5	3125.98
1498406400	2596.28	2616.16	2597.5	2613.11	1900.13
1498410000	2604.37	2626.08	2613.11	2623.55	2145.67
1498413600	2553.65	2624.85	2623.55	2554.04	5434.46
1498417200	2516.67	2563.99	2554.04	2519.36	7485.14
1498420800	2518.88	2553.77	2519.36	2524.86	4321.98
1498424400	2472.37	2525.68	2524.86	2514.93	10808.61
1498428000	2491.49	2534.34	2514.93	2519.19	7196.0
1498431600	2512.4	2547.96	2519.19	2541.62	3774.89
1498435200	2523.0	2550.03	2541.62	2549.47	3483.86
1498438800	2534.1	2575.19	2549.47	2573.67	3815.87
1498442400	2558.67	2576.64	2573.67	2572.22	2930.88
1498446000	2557.18	2578.35	2572.22	2576.98	2141.86
1498449600	2540.04	2584.75	2576.98	2541.09	2821.65
1498453200	2536.94	2560.75	2541.09	2543.24	2745.29
1498456800	2496.92	2544.43	2543.24	2501.32	4489.06
1498460400	2483.71	2527.84	2501.32	2520.87	5705.78
1498464000	2471.94	2522.9	2520.87	2471.94	4924.98
1498467600	2470.82	2549.93	2471.94	2549.29	6141.44
1498471200	2522.31	2549.68	2549.29	2527.71	6421.26
1498474800	2513.51	2536.34	2527.71	2516.83	6708.8
1498478400	2491.98	2534.08	2516.83	2531.67	4682.04
1498482000	2501.7	2539.45	2531.67	2508.6	5500.65
1498485600	2483.71	2511.09	2508.6	2484.73	7220.15
1498489200	2419.33	2484.81	2484.73	2429.56	12178.17
1498492800	2395.55	2447.58	2429.56	2439.58	14336.62
1498496400	2402.62	2455.16	2439.58	2407.88	9403.17
1498500000	2327.26	2414.88	2407.88	2351.2	12146.01
1498503600	2351.17	2381.92	2351.2	2356.68	8246.58
1498507200	2327.58	2404.68	2356.68	2388.82	12467.69
1498510800	2383.45	2451.64	2388.82	2432.73	10649.31
1498514400	2400.25	2451.23	2432.73	2451.23	6609.77
1498518000	2445.48	2479.1	2451.23	2446.05	10054.99
1498521600	2421.13	2457.93	2446.05	2438.48	5761.35
1498525200	2438.21	2473.56	2438.48	2471.94	3175.07
1498528800	2471.87	2496.72	2471.94	2495.39	3971.38
1498532400	2479.23	2496.52	2495.39	2480.74	3024.97
1498536000	2440.82	2481.57	2480.74	2462.94	3693.61
1498539600	2446.64	2485.08	2462.94	2479.21	2699.82
1498543200	2438.82	2485.2	2479.21	2442.92	4412.81
1498546800	2388.74	2443.45	2442.92	2401.18	6841.26
1498550400	2384.4	2425.78	2401.18	2403.56	4170.96
1498554000	2382.65	2434.34	2403.56	2413.92	4220.23
1498557600	2409.18	2449.68	2413.92	2429.27	4424.65
1498561200	2396.2	2433.73	2429.27	2400.69	7383.18
1498564800	2389.86	2425.83	2400.69	2412.89	5805.22
1498568400	2360.49	2415.27	2412.89	2363.57	7624.56
1498572000	2316.48	2374.77	2363.57	2345.78	15448.59
1498575600	2332.14	2364.82	2345.78	2358.67	9770.65
1498579200	2309.63	2366.89	2358.67	2350.88	9123.71
1498582800	2329.82	2375.12	2350.88	2374.61	6087.06
1498586400	2359.25	2402.21	2374.61	2400.72	6883.68
1498590000	2400.49	2445.76	2400.72	2436.11	9645.79
1498593600	2436.11	2494.64	2436.11	2485.01	12011.53
1498597200	2455.13	2486.67	2485.01	2467.44	6773.04
1498600800	2467.23	2539.54	2467.44	2539.54	8743.96
1498604400	2512.1	2585.06	2539.54	2583.75	7566.74
1498608000	2529.04	2586.52	2583.75	2535.19	8016.6
1498611600	2492.17	2550.02	2535.19	2493.87	4872.07
1498615200	2493.87	2528.36	2493.87	2507.21	3007.23
1498618800	2506.87	2557.91	2507.21	2550.5	3991.93
1498622400	2515.9	2553.52	2550.5	2517.54	3625.64
1498626000	2490.11	2517.54	2517.54	2512.75	3609.72
