time	low	high	open	close	volume
1497387600	386.69	392.67	392.18	389.43	23597.93
1497391200	378.06	390.06	389.43	380.27	28867.73
1497394800	379.85	388.64	380.27	388.09	22042.52
1497398400	387.0	389.32	388.09	387.78	13384.65
1497402000	385.74	389.14	387.78	389.07	19453.16
1497405600	386.87	389.3	389.07	387.78	14052.7
1497409200	387.04	393.62	387.78	390.74	23681.97
1497412800	390.74	392.06	390.74	390.94	8523.73
1497416400	390.86	392.95	390.94	392.44	11035.22
1497420000	388.46	392.59	392.44	389.58	13501.11
1497423600	385.02	389.95	389.58	386.17	15898.19
1497427200	381.24	386.34	386.17	385.55	21134.72
1497430800	385.55	389.1	385.55	388.45	11052.73
1497434400	387.88	390.98	388.45	389.12	11089.85
1497438000	387.17	389.8	389.12	387.18	10190.65
1497441600	380.37	387.18	387.18	384.6	27618.27
1497445200	345.19	385.19	384.6	362.7	184456.67
1497448800	350.3	374.45	362.7	374.02	104326.3
1497452400	364.95	375.22	374.02	368.46	42193.02
1497456000	351.05	368.67	368.46	360.24	75924.13
1497459600	352.15	361.2	360.24	359.79	48847.16
1497463200	359.79	369.1	359.79	364.57	40525.7
1497466800	357.33	367.01	364.57	359.65	26190.82
1497470400	354.75	360.22	359.65	359.07	22055.22
1497474000	335.05	359.43	359.07	348.52	62456.81
1497477600	317.23	350.9	348.52	335.3	119193.13
1497481200	334.77	343.96	335.3	343.84	46361.04
1497484800	326.57	343.94	343.84	339.14	55659.73
1497488400	333.1	351.94	339.14	342.74	52574.06
1497492000	342.63	349.45	342.74	346.53	28964.52
1497495600	335.26	346.54	346.53	343.15	26745.17
1497499200	327.03	343.32	343.15	327.21	30153.22
1497502800	316.31	330.92	327.21	316.57	88699.07
1497506400	289.38	329.83	316.57	329.77	207743.92
1497510000	323.63	342.15	329.77	336.14	74539.11
1497513600	334.57	344.39	336.14	342.65	28941.66
1497517200	323.2	343.17	342.65	323.24	31752.18
1497520800	310.26	330.24	323.24	312.65	69373.22
1497524400	289.18	312.72	312.65	301.82	128912.86
1497528000	300.76	316.82	301.82	301.07	86209.66
1497531600	268.62	303.83	301.07	269.29	180720.15
1497535200	260.78	309.81	269.29	299.87	194114.94
1497538800	286.18	301.05	299.87	298.83	100245.81
1497542400	298.79	326.07	298.83	318.72	132742.27
1497546000	299.04	319.41	318.72	299.52	92382.45
1497549600	295.87	311.02	299.52	307.77	63334.7
1497553200	306.92	319.77	307.77	319.77	46517.64
1497556800	315.87	331.35	319.77	328.93	71272.11
1497560400	324.45	337.57	328.93	333.72	63736.81
1497564000	327.76	341.85	333.72	341.63	43115.39
1497567600	339.22	347.8	341.63	344.68	47357.52
1497571200	325.24	344.69	344.68	330.9	59274.22
1497574800	318.81	336.85	330.9	319.14	34046.53
1497578400	316.83	326.1	319.14	326.1	29895.81
1497582000	324.54	337.06	326.1	332.53	24292.42
1497585600	332.42	341.88	332.53	338.72	24399.5
1497589200	336.05	340.34	338.72	339.73	19735.56
1497592800	338.41	348.61	339.73	348.45	26112.51
1497596400	341.81	350.08	348.45	342.92	34950.43
1497600000	342.92	349.08	342.92	348.91	17826.03
1497603600	348.72	351.99	348.91	351.55	27624.02
1497607200	351.55	358.14	351.55	357.9	32155.95
1497610800	343.97	360.84	357.9	350.2	45624.84
1497614400	344.4	354.52	350.2	344.66	28488.54
1497618000	341.37	351.41	344.66	350.87	28828.88
1497621600	348.77	354.02	350.87	353.06	29184.02
1497625200	349.31	353.69	353.06	352.55	21540.12
1497628800	352.55	358.58	352.55	357.14	34401.16
1497632400	355.18	357.95	357.14	356.01	20705.73
1497636000	352.76	358.23	356.01	353.03	23894.75
1497639600	352.09	357.06	353.03	357.01	22444.41
1497643200	353.05	357.16	357.0	353.06	15447.0
1497646800	348.53	353.11	353.06	351.48	21231.36
1497650400	348.19	353.17	351.48	349.77	16691.54
1497654000	349.77	354.06	349.77	353.61	13709.48
1497657600	349.9	354.06	353.61	350.43	16108.87
1497661200	343.49	350.53	350.43	344.21	29032.65
1497664800	342.85	346.09	344.21	344.58	18713.99
1497668400	344.25	348.83	344.58	348.83	12658.62
1497672000	347.49	353.08	348.83	352.3	15103.33
1497675600	351.4	354.26	352.3	353.89	11294.82
1497679200	352.66	355.73	353.89	355.14	9074.53
1497682800	353.68	355.94	355.14	354.47	9538.55
1497686400	352.44	355.82	354.47	354.14	9184.39
1497690000	353.18	355.44	354.14	354.98	8008.77
1497693600	354.38	357.91	354.98	357.85	17289.97
1497697200	356.86	359.09	357.85	358.77	12088.24
1497700800	356.45	358.98	358.77	357.64	9949.95
1497704400	356.28	358.71	357.64	356.48	10169.27
1497708000	356.15	357.4	356.48	356.66	9740.63
1497711600	354.07	356.89	356.66	355.85	21497.09
1497715200	350.86	358.72	355.85	358.54	33135.75
1497718800	358.44	366.42	358.54	363.61	40390.04
1497722400	363.23	366.04	363.61	365.56	18211.52
1497726000	364.78	365.93	365.56	365.57	13668.55
1497729600	364.04	365.82	365.57	365.82	13025.03
1497733200	365.03	366.99	365.82	366.35	11783.48
1497736800	365.53	367.45	366.35	366.7	13458.35
1497740400	364.78	368.33	366.7	368.1	15249.22
1497744000	367.1	369.1	368.1	368.77	15637.82
1497747600	368.46	371.09	368.77	371.08	12467.54
1497751200	370.54	373.57	371.08	373.14	15386.73
1497754800	372.61	373.95	373.14	373.3	12604.73
1497758400	373.23	376.92	373.3	375.0	16318.56
1497762000	374.97	379.17	375.0	377.82	23167.99
1497765600	370.47	377.98	377.82	374.16	19456.77
1497769200	354.94	374.24	374.16	355.5	41727.22
1497772800	348.82	366.57	355.5	366.57	33472.35
1497776400	361.36	367.78	366.57	364.31	10369.59
1497780000	360.48	367.78	364.31	367.68	9220.72
1497783600	364.09	368.89	367.68	368.68	11875.52
1497787200	368.56	370.37	368.68	369.22	7037.27
1497790800	358.55	369.37	369.22	358.55	17732.12
1497794400	354.01	360.74	358.55	355.69	23365.45
1497798000	355.46	361.25	355.69	361.24	14782.87
1497801600	358.94	363.98	361.24	360.41	13358.02
1497805200	359.62	361.6	360.41	360.09	9616.85
1497808800	353.15	360.4	360.09	354.22	21174.26
1497812400	343.6	355.13	354.22	349.62	36870.61
1497816000	341.29	349.92	349.62	343.96	28473.47
1497819600	342.65	350.91	343.96	348.28	27491.5
1497823200	343.59	349.82	348.28	349.36	20469.71
1497826800	348.52	352.36	349.36	351.53	11287.02
1497830400	351.35	358.09	351.53	355.45	14444.63
1497834000	350.81	357.66	355.45	351.59	10330.79
1497837600	350.74	356.24	351.59	356.14	11362.6
1497841200	356.11	360.5	356.14	360.41	12140.3
1497844800	358.84	361.16	360.41	360.16	7681.68
1497848400	358.73	361.5	360.16	360.77	10866.0
1497852000	356.27	360.96	360.77	358.31	15969.88
1497855600	355.31	358.77	358.31	358.22	12882.75
1497859200	356.08	358.24	358.22	356.98	7396.54
1497862800	351.5	357.03	356.98	352.07	16974.66
1497866400	351.81	355.1	352.07	353.35	9327.32
1497870000	348.66	353.89	353.35	350.9	14608.1
1497873600	349.67	354.59	350.9	352.88	13842.77
1497877200	352.68	357.44	352.88	356.93	15533.63
1497880800	353.53	357.21	356.93	355.87	17577.56
1497884400	355.29	356.81	355.87	356.24	11206.33
1497888000	354.9	357.64	356.24	357.53	10209.0
1497891600	357.24	358.58	357.53	358.58	11322.34
1497895200	358.27	359.23	358.58	358.71	9632.19
1497898800	353.75	358.92	358.71	354.77	23229.71
1497902400	354.17	355.47	354.77	355.36	12811.95
1497906000	354.56	356.56	355.36	355.82	10307.99
1497909600	355.21	357.11	355.82	355.99	8876.58
1497913200	355.85	358.29	355.99	358.2	10192.88
1497916800	356.94	359.84	358.2	357.63	26266.76
1497920400	357.63	360.37	357.63	360.23	11054.28
1497924000	358.87	360.65	360.23	360.27	13025.77
1497927600	360.08	365.02	360.27	364.28	21254.63
